franchise,seasons,level,sd,persistence
Yankees,56,0.5638,0.0547,0.521
Dodgers,56,0.5519,0.0598,0.396
Red Sox,56,0.5374,0.0517,0.038
Cardinals,56,0.5251,0.0526,0.077
Braves,56,0.521,0.0826,0.727
Astros,56,0.5138,0.0717,0.505
Athletics,56,0.5125,0.0825,0.556
Reds,56,0.509,0.0704,0.365
Giants,56,0.5072,0.0598,0.188
Phillies,56,0.5021,0.065,0.61
Guardians,56,0.5011,0.0711,0.427
Orioles,56,0.5008,0.0876,0.587
Blue Jays,49,0.4989,0.0695,0.542
Mets,56,0.4972,0.0683,0.498
Angels,56,0.4971,0.0576,0.254
Brewers,56,0.4912,0.0628,0.515
Cubs,56,0.4892,0.063,0.275
Twins,56,0.489,0.0653,0.304
White Sox,56,0.4886,0.0711,0.322
Nationals,56,0.485,0.0701,0.488
Rangers,56,0.4848,0.0635,0.322
Tigers,56,0.4812,0.0796,0.497
Pirates,56,0.4804,0.0755,0.651
Royals,56,0.4779,0.0702,0.501
Mariners,49,0.4774,0.073,0.352
Padres,56,0.4716,0.0646,0.289
